Ticker,Predicted PE (Cluster),PE Difference (Cluster),Valuation Signal (Cluster),Cluster R²,Cluster Adj R²,Cluster F p-value,Cluster Residual SE,Source Cluster,Sector,PE Ratio (Current),EPS Growth (ROE x Retention),Beta,Payout Ratio,Predicted PE (Index),PE Difference (Index),Valuation Signal (Index),Index R²,Index Adj R²,Index F p-value,Index Residual SE,Combined Signal
ALGN,42.72,-12.7,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Health Care,30.018456375838927,0.10824,1.695,0.0,35.75,-5.73,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
AMAT,37.9,1.92,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Information Technology,39.82395087001024,0.317666162,1.654,0.1826,34.57,5.25,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
ANET,37.43,25.37,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Information Technology,62.8,0.314,1.673,0.0,34.04,28.76,Overvalued,0.1352,0.1281,0.0,14.1588,Overvalued (Cluster Model Insignificant)
XYZ,45.83,-11.63,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Financials,34.195238095238096,0.060100004,2.57,0.0,47.32,-13.12,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
CCL,40.99,-29.25,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Consumer Discretionary,11.744493392070485,0.260119167,2.331,0.0661,43.8,-32.06,Undervalued,0.1352,0.1281,0.0,14.1588,Undervalued (Cluster Model Insignificant)
CVNA,41.98,2.25,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Consumer Discretionary,44.23121387283237,0.60172004,3.55,0.0,57.4,-13.17,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
COIN,46.72,-3.84,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Financials,42.88116591928251,0.10055,3.381,0.0,57.86,-14.98,Undervalued,0.1352,0.1281,0.0,14.1588,Undervalued (Cluster Model Insignificant)
DASH,36.71,45.86,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Consumer Discretionary,82.5680751173709,0.10439,1.871,0.0,37.06,45.51,Overvalued,0.1352,0.1281,0.0,14.1588,Overvalued (Cluster Model Insignificant)
FSLR,44.02,-30.34,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Information Technology,13.676356589147288,0.18436001,1.564,0.0,33.86,-20.18,Undervalued,0.1352,0.1281,0.0,14.1588,Undervalued (Cluster Model Insignificant)
GNRC,36.03,45.27,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Industrials,81.29780564263322,0.07388,1.937,0.0,37.94,43.36,Overvalued,0.1352,0.1281,0.0,14.1588,Overvalued (Cluster Model Insignificant)
KKR,11.61,32.7,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Financials,44.307692307692314,0.05887904,1.852,0.312,38.66,5.65,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
MU,42.65,-17.07,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Information Technology,25.575943396226418,0.389588428566,1.919,0.0217,37.26,-11.68,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
NCLH,42.71,-22.26,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Consumer Discretionary,20.44565217391304,0.23285,1.921,0.0,38.11,-17.66,Undervalued,0.1352,0.1281,0.0,14.1588,Undervalued (Cluster Model Insignificant)
NUE,30.0,-7.58,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Materials,22.424603174603178,0.09579843,1.884,0.2202,38.97,-16.55,Undervalued,0.1352,0.1281,0.0,14.1588,Undervalued (Cluster Model Insignificant)
NXPI,29.84,-1.59,Model Insignificant,0.0528,-0.105,0.8005,23.5147,cluster_0,Information Technology,28.252631578947373,0.1580271789185995,1.776,0.38779998,37.66,-9.41,Fairly Valued,0.1352,0.1281,0.0,14.1588,Fairly Valued (Cluster Model Insignificant)
